Order_ID,Order_Line_No,Order_Date,Channel,Order_Priority,Order_Size_Lines,SKU_ID,Category,Subcategory,Quantity,Width_cm,Depth_cm,Height_cm,Weight_kg,Storage_Type,Criticality,Shelf_Life_Days,Unit_Value_INR,Avg_Daily_Demand,Demand_CV,Demand_StdDev,Avg_Weekly_Demand,Picking_Frequency_Weekly,Current_Zone,Current_Aisle,Current_Rack,Current_Bin_Capacity_Units,Distance_From_Dispatch_m,Picker_Travel_Distance_m,Picking_Time_sec,Observed_SKU_90D_Demand,Observed_SKU_Order_Frequency,ABC_Class,XYZ_Class,ABC_XYZ_Class
ORD00001,1,2026-01-25,Web,Standard,6,SKU036,Grocery,Cooking,3,22.3,27.7,18.1,7.54,Ambient,Medium,60,205.87,13,0.34,4.42,91,102.4,Z6,A4,R5,50,70.0,82.03,36.24,36,16,C,Y,CY
ORD00001,2,2026-01-25,Web,Standard,6,SKU057,Grocery,Breakfast,1,16.4,29.7,32.7,5.25,Ambient,Low,365,614.29,6,0.86,5.16,42,31.7,Z7,A2,R1,40,64.0,72.68,24.32,30,24,B,Z,BZ
ORD00001,3,2026-01-25,Web,Standard,6,SKU120,Grocery,Staples,1,18.2,17.1,12.1,4.89,Ambient,Medium,90,1756.29,6,0.43,2.58,42,32.4,Z6,A2,R3,30,59.0,56.2,23.55,12,9,B,Y,BY
ORD00001,4,2026-01-25,Web,Standard,6,SKU054,Grocery,Staples,1,24.4,8.8,37.6,2.41,Ambient,Medium,180,457.62,4,0.87,3.48,28,28.1,Z4,A4,R3,30,51.0,54.34,25.01,24,16,C,Z,CZ
ORD00001,5,2026-01-25,Web,Standard,6,SKU039,Grocery,Staples,3,12.3,16.6,26.4,3.09,Fragile,High,60,890.4,9,0.51,4.59,63,56.4,Z3,A1,R2,50,29.5,26.69,15.73,22,14,B,Z,BZ
ORD00001,6,2026-01-25,Web,Standard,6,SKU086,Grocery,Staples,1,32.6,26.6,25.2,4.63,Ambient,Low,30,1740.0,4,0.41,1.64,28,22.2,Z5,A2,R3,30,51.0,48.3,23.44,16,12,B,Y,BY
ORD00002,1,2026-03-27,App,Standard,6,SKU029,Pet Care,Cat Food,1,19.2,11.5,13.7,5.14,Ambient,Medium,90,805.77,15,0.3,4.5,105,114.7,Z6,A1,R5,50,58.0,50.67,21.43,35,17,A,Y,AY
ORD00002,2,2026-03-27,App,Standard,6,SKU037,Pet Care,Pet Hygiene,2,22.0,6.0,23.6,5.33,Ambient,Low,180,1484.64,6,0.49,2.94,42,31.8,Z5,A2,R4,40,52.5,49.5,23.17,11,8,C,Y,CY
ORD00002,3,2026-03-27,App,Standard,6,SKU002,Pet Care,Dog Food,1,25.5,18.4,14.3,5.16,Ambient,Medium,730,1579.64,6,0.76,4.56,42,35.5,Z5,A2,R6,30,55.5,48.0,24.79,4,4,C,Z,CZ
ORD00002,4,2026-03-27,App,Standard,6,SKU010,Pet Care,Dog Food,2,11.4,15.0,7.1,3.09,Ambient,Medium,180,531.32,4,0.64,2.56,28,30.3,Z4,A5,R2,50,53.5,63.4,29.1,17,13,C,Z,CZ
